id,name,full_name
337,test,Оптимизационные модели и методы в управлении строительным производством
338,test,Вестник РАЕН
339,test,"Мехатроника, автоматизация, управление"
340,test,Ивери Варламович Прангишвили: более полувека в науке управления
341,test,"Материалы конференции «Фундаментальные науки – медицине» (Москва, 2006)"
342,test,Системный анализ и управление в биомедицинских системах
343,test,Боеприпасы
344,test,"Труды V Международной конференции «Идентификация систем и задачи управления» (SICPRO-2006, Москва)"
345,test,НЭП XXI век. Наука. Экономика. Промышленность
346,test,"Материалы III Всероссийской научно-практической конференции по имитационному моделированию и его применению в науке и промышленности «Имитационное моделирование. Теория и практика» (ИММОД-2007, Санкт-Петербург)"
347,test,Проблемы аналитической механики и теории устойчивости
348,test,"Труды Дальневосточного международного экономического конгресса (Хабаровск, 2006)"
349,test,Проблемы человеческого риска
350,test,"Proceedings of the IMACS Multiconference on Computational Engineering in Systems Applications (CESA2006, Beijing, China)"
351,test,"Proceedings of the 18th International Conference on Systems Research, Informatics and Cybernetics (Baden-Baden, 2006)"
352,test,"Труды ХХ международной юбилейной школы-семинара «Новые микро-магнитные материалы» (Москва, 2006)"
353,test,Энергосбережение и водоподготовка
354,test,Философ хозяйства (К 65-летию Ю.М.Осипова)
355,test,САПР и графика
356,test,Здоровье населения и среда обитания
357,test,"Тезисы докладов 5-й Международной конференции «Математическое моделирование в образовании, науке и производстве» (MATMOD2007, Тирасполь)"
358,test,Proceedings of the DQM-2006.Dependability and Qality Management (Prijevor)
359,test,Химия и технология топлив и масел
360,test,"Proceedings of the Progress in Electromagnetic Research Symposium (PIERS 2005, Khangdzou, China)"
361,test,Задачи исследования устойчивости и стабилизации движения
362,test,"Proceedings of the 17th IFAC World Congress (Seoul, Korea, 2008)"
363,test,Труды 8-ой научно-практической конференции Качество дистанционного образования
364,test,Мир образования – образование в мире
366,test,Нелинейный мир
367,test,Модели и методы управления проектами в дорожном строительстве
368,test,Труды ВГАСУ
369,test,Системы управления и информационные технологии
370,test,Mathematical Programming
371,test,"Труды Международного семинара ЮНЕСКО «Управление и самоуправление в сложных системах» (Москва, 2005)"
372,test,Эрозия почв и русловые процессы
373,test,"Сборник материалов Всероссийской научной конференции МГТУ им. Н.Э.Баумана (Ьщсква, 2008)"
374,test,Вестник Самарского государственного аэрокосмического университета имени академика С. П. Королева
375,test,"Proceedings of the 39th International Conference Modeling and Simulation on Systems (MOSIS05, Brno)"
376,test,"Сборник докладов XI Международной научной конференции «Проблемы регионального и муниципального управления»  (Москва, 2009)"
377,test,Научный вестник Воронежского государственного архитектурно-строительного университета
378,test,Journal of Business Economics and Management
379,test,"Труды XVI Международной конференции «Проблемы управления безопасностью сложных систем» (Москва, 2008)"
380,test,"Труды 12-й Международной конференции «Математические методы в технике и технологиях» (Казань, 2005)"
381,test,Физика плазмы
382,test,"Труды конференции «Нефть и газ» (Ташкент, 2006)"
383,test,Вопросы атомной науки и техники. Серия «Термоядерный синтез»
384,test,"Труды конференции «Оптимизация и управление» (Москва, 2005)"
385,test,"Abstracts of the 32th EPS Conference Plasma Physics (Tarragona, Spain, 2005)"
386,test,"Proceedings of the 8th International Conference on Applied Electromagnetics (ПЕС 2007, Nis, Serbia)"
387,test,Стратегическая стабильность
388,test,Автоматизация в промышленности
389,test,Proceedings of the International Workshop on Information Technologies and Security ITSEC-2007
390,test,IFAC Proceedings Volumes
391,test,Сборник научных трудов НАМИ
392,test,"Proceedings of the International Congress of Mathematicians (ICM’2006, Madrid)"
393,test,Современная социально-экономическая трансформация России: ориентиры и итоги в контексте глобализации и регионализации
394,test,Философия хозяйства
395,test,"Экономика развития региона: проблемы, поиски, перспективы"
396,test,Интернет-сайт Финансовой академии
397,test,"Материалы XXXIV Международной конференции «Технологии в науке, социологии, экономике и бизнесе» (IT+SE07, Гурзуф, 2007)"
398,test,Экономическая теория в XXI веке
399,test,Управление в социально-экономических системах бесприбыльного сектора
400,test,Финансы. Деньги. Инвестиции
